,,,,,
,"CPI - Rural, Urban, Combined (All India)",,,,
,,,,,
,Base : 2012 = 100,,,,
,,,,,
,Month,Commodity Description,Provisional / Final,Combined,
,,,,Index,Inflation (%)
,JUL-2025,"A.1.12) Prepared meals, snacks, sweets etc.",Final,211,4.4
,JUL-2025,"A.2) Pan, tobacco and intoxicants",Final,213.3,2.45
,JUL-2025,A.3) Clothing and footwear,Final,197.1,2.5
,JUL-2025,A.3.1) Clothing,Final,198.6,2.58
,JUL-2025,A.3.2) Footwear,Final,188.3,2.17
,JUL-2025,A.4) Housing,Final,185.7,3.17
,JUL-2025,A.5) Fuel and light,Final,180.7,2.67
,JUL-2025,A.6) Miscellaneous,Final,192.9,5.01
,JUL-2025,A.6.1) Household goods and services,Final,184.9,2.61
,JUL-2025,A.6.2) Health,Final,203.5,4.57
,JUL-2025,A.6.3) Transport and communication,Final,173.5,2.12
,JUL-2025,A.6.4) Recreation and amusement,Final,180.5,2.38
,JUL-2025,A.6.5) Education,Final,195,4.11
,JUL-2025,A.6.6) Personal Care and Effects,Final,230.7,15.12
,JUL-2025,B) Consumer Food Price Index,Final,200.7,-1.76
,JUN-2025,A) General Index,Final,194.2,2.1
,JUN-2025,A.1) Food and beverages,Final,198.1,-0.15
,JUN-2025,A.1.1) Cereals and products,Final,197.2,3.73
,JUN-2025,A.1.2) Meat and fish,Final,230.8,-1.62
,JUN-2025,A.1.3) Egg,Final,195.2,2.57
,JUN-2025,A.1.4) Milk and products,Final,190.6,2.8
,JUN-2025,A.1.5) Oils and fats,Final,188.4,17.75
,JUN-2025,A.1.6) Fruits,Final,207.6,12.64
,JUN-2025,A.1.7) Vegetables,Final,189.9,-18.92
,JUN-2025,A.1.8) Pulses and products,Final,186.1,-11.76
,JUN-2025,A.1.9) Sugar and confectionery,Final,135.3,3.52
,JUN-2025,A.1.10) Spices,Final,220.8,-3.03
,JUN-2025,A.1.11) Non-alcoholic beverages,Final,185.8,4.32
,JUN-2025,"A.1.12) Prepared meals, snacks, sweets etc.",Final,210.2,4.32
,JUN-2025,"A.2) Pan, tobacco and intoxicants",Final,212.7,2.41
,JUN-2025,A.3) Clothing and footwear,Final,196.8,2.55
,JUN-2025,A.3.1) Clothing,Final,198.3,2.64
,JUN-2025,A.3.2) Footwear,Final,188,2.23
,JUN-2025,A.4) Housing,Final,184.8,3.18
,JUN-2025,A.5) Fuel and light,Final,180.8,2.55
,JUN-2025,A.6) Miscellaneous,Final,192.2,5.49
,JUN-2025,A.6.1) Household goods and services,Final,184.5,2.56
,JUN-2025,A.6.2) Health,Final,202.5,4.38
,JUN-2025,A.6.3) Transport and communication,Final,173.2,3.9
,JUN-2025,A.6.4) Recreation and amusement,Final,180.2,2.5
,JUN-2025,A.6.5) Education,Final,193.6,4.37
,JUN-2025,A.6.6) Personal Care and Effects,Final,229.5,14.81
,JUN-2025,B) Consumer Food Price Index,Final,196.7,-1.01
,MAY-2025,A) General Index,Final,193,2.82
,MAY-2025,A.1) Food and beverages,Final,196.1,1.5
,MAY-2025,A.1.1) Cereals and products,Final,197.8,4.77
,MAY-2025,A.1.2) Meat and fish,Final,228.9,-0.43
,MAY-2025,A.1.3) Egg,Final,187.7,0.64
,MAY-2025,A.1.4) Milk and products,Final,190,3.15
,MAY-2025,A.1.5) Oils and fats,Final,187,17.91
,MAY-2025,A.1.6) Fruits,Final,207.1,12.74
,MAY-2025,A.1.7) Vegetables,Final,177,-13.7
,MAY-2025,A.1.8) Pulses and products,Final,188.8,-8.22
,MAY-2025,A.1.9) Sugar and confectionery,Final,135.1,4.16
,MAY-2025,A.1.10) Spices,Final,221,-2.77
,MAY-2025,A.1.11) Non-alcoholic beverages,Final,185.7,4.56
,MAY-2025,"A.1.12) Prepared meals, snacks, sweets etc.",Final,209.5,4.38
,MAY-2025,"A.2) Pan, tobacco and intoxicants",Final,212.1,2.41
,MAY-2025,A.3) Clothing and footwear,Final,196.4,2.67
,MAY-2025,A.3.1) Clothing,Final,197.9,2.75
,MAY-2025,A.3.2) Footwear,Final,187.6,2.18
,MAY-2025,A.4) Housing,Final,185.8,3.16
,MAY-2025,A.5) Fuel and light,Final,181.1,2.84
,MAY-2025,A.6) Miscellaneous,Final,191.1,5.17
,MAY-2025,A.6.1) Household goods and services,Final,184.1,2.51
,MAY-2025,A.6.2) Health,Final,201.9,4.34
,MAY-2025,A.6.3) Transport and communication,Final,172.8,3.85
,MAY-2025,A.6.4) Recreation and amusement,Final,179.9,2.45
,MAY-2025,A.6.5) Education,Final,191.9,4.12
,MAY-2025,A.6.6) Personal Care and Effects,Final,226.4,13.54
,MAY-2025,B) Consumer Food Price Index,Final,194.5,0.99
,APR-2025,A) General Index,Final,192.6,3.16
,APR-2025,A.1) Food and beverages,Final,196,2.14
,APR-2025,A.1.1) Cereals and products,Final,198.9,5.35
,APR-2025,A.1.2) Meat and fish,Final,225.7,-0.35
,APR-2025,A.1.3) Egg,Final,183.2,0.83
,APR-2025,A.1.4) Milk and products,Final,188.7,2.72
,APR-2025,A.1.5) Oils and fats,Final,186,17.42
,APR-2025,A.1.6) Fruits,Final,211.3,13.91
,APR-2025,A.1.7) Vegetables,Final,176.8,-10.98
,APR-2025,A.1.8) Pulses and products,Final,192,-5.23
,APR-2025,A.1.9) Sugar and confectionery,Final,134.5,4.59
,APR-2025,A.1.10) Spices,Final,221.5,-3.44
,APR-2025,A.1.11) Non-alcoholic beverages,Final,185.2,4.4
,APR-2025,"A.1.12) Prepared meals, snacks, sweets etc.",Final,209.1,4.45
,APR-2025,"A.2) Pan, tobacco and intoxicants",Final,210.9,2.08
,APR-2025,A.3) Clothing and footwear,Final,196.1,2.67
,APR-2025,A.3.1) Clothing,Final,197.5,2.7
,APR-2025,A.3.2) Footwear,Final,187.3,2.07
,APR-2025,A.4) Housing,Final,185.4,3.06
,APR-2025,A.5) Fuel and light,Final,179.5,2.92
,APR-2025,A.6) Miscellaneous,Final,190.3,5.02
,APR-2025,A.6.1) Household goods and services,Final,183.9,2.51
,APR-2025,A.6.2) Health,Final,201.1,4.25
,APR-2025,A.6.3) Transport and communication,Final,172.4,3.67
,APR-2025,A.6.4) Recreation and amusement,Final,179.6,2.51
,APR-2025,A.6.5) Education,Final,191.4,4.13
,APR-2025,A.6.6) Personal Care and Effects,Final,223.3,12.95
,APR-2025,B) Consumer Food Price Index,Final,194.6,1.78
,MAR-2025,A) General Index,Final,192,3.34
,MAR-2025,A.1) Food and beverages,Final,196.2,2.88
,MAR-2025,A.1.1) Cereals and products,Final,200.2,5.93
,MAR-2025,A.1.2) Meat and fish,Final,221.7,0.32
,MAR-2025,A.1.3) Egg,Final,187.3,-3.1
,MAR-2025,A.1.4) Milk and products,Final,188.1,2.62
,MAR-2025,A.1.5) Oils and fats,Final,185.2,17.07
,MAR-2025,A.1.6) Fruits,Final,203,16.27
,MAR-2025,A.1.7) Vegetables,Final,182.3,-7.04
,MAR-2025,A.1.8) Pulses and products,Final,196,-2.73
,MAR-2025,A.1.9) Sugar and confectionery,Final,133.7,3.89
,MAR-2025,A.1.10) Spices,Final,222.1,-4.92
,MAR-2025,A.1.11) Non-alcoholic beverages,Final,184.4,4.06
,MAR-2025,"A.1.12) Prepared meals, snacks, sweets etc.",Final,208.5,4.3
,MAR-2025,"A.2) Pan, tobacco and intoxicants",Final,210.8,2.48
,MAR-2025,A.3) Clothing and footwear,Final,195.6,2.62
,MAR-2025,A.3.1) Clothing,Final,197.1,2.71
,MAR-2025,A.3.2) Footwear,Final,186.9,1.96
,MAR-2025,A.4) Housing,Final,183.6,3.03
,MAR-2025,A.5) Fuel and light,Final,178.3,1.42
,MAR-2025,A.6) Miscellaneous,Final,189.2,4.99
,MAR-2025,A.6.1) Household goods and services,Final,183.7,2.68
,MAR-2025,A.6.2) Health,Final,200.5,4.26
,MAR-2025,A.6.3) Transport and communication,Final,172.3,3.36
,MAR-2025,A.6.4) Recreation and amusement,Final,179.3,2.46
,MAR-2025,A.6.5) Education,Final,190.5,3.98
,MAR-2025,A.6.6) Personal Care and Effects,Final,217.8,13.5
,MAR-2025,B) Consumer Food Price Index,Final,194.9,2.69
,FEB-2025,A) General Index,Final,192.5,3.61
,FEB-2025,A.1) Food and beverages,Final,197.6,3.84
,FEB-2025,A.1.1) Cereals and products,Final,200,6.1
,FEB-2025,A.1.2) Meat and fish,Final,222.6,2.11
,FEB-2025,A.1.3) Egg,Final,196.9,-2.96
,FEB-2025,A.1.4) Milk and products,Final,187.9,2.68
,FEB-2025,A.1.5) Oils and fats,Final,184.2,16.36
,FEB-2025,A.1.6) Fruits,Final,196.8,14.82
,FEB-2025,A.1.7) Vegetables,Final,193.3,-1.13
,FEB-2025,A.1.8) Pulses and products,Final,201.9,-0.35
,FEB-2025,A.1.9) Sugar and confectionery,Final,132.2,2.16
,FEB-2025,A.1.10) Spices,Final,223.9,-5.85
,FEB-2025,A.1.11) Non-alcoholic beverages,Final,183.7,3.73
,FEB-2025,"A.1.12) Prepared meals, snacks, sweets etc.",Final,207.8,4.21
,FEB-2025,"A.2) Pan, tobacco and intoxicants",Final,210.2,2.44
,FEB-2025,A.3) Clothing and footwear,Final,195.4,2.68
,FEB-2025,A.3.1) Clothing,Final,196.8,2.77
,FEB-2025,A.3.2) Footwear,Final,186.7,2.02
,FEB-2025,A.4) Housing,Final,183.7,2.91
,FEB-2025,A.5) Fuel and light,Final,178.3,-1.33
,FEB-2025,A.6) Miscellaneous,Final,188.5,4.84
,FEB-2025,A.6.1) Household goods and services,Final,183.6,2.8
,FEB-2025,A.6.2) Health,Final,199.6,4.12
,FEB-2025,A.6.3) Transport and communication,Final,171.9,2.93
,FEB-2025,A.6.4) Recreation and amusement,Final,179.3,2.69
,FEB-2025,A.6.5) Education,Final,190,3.83
,FEB-2025,A.6.6) Personal Care and Effects,Final,215.1,13.63
,FEB-2025,B) Consumer Food Price Index,Final,196.6,3.75
,JAN-2025,A) General Index,Final,193.4,4.26
,JAN-2025,A.1) Food and beverages,Final,200.9,5.68
,JAN-2025,A.1.1) Cereals and products,Final,199.1,6.24
,JAN-2025,A.1.2) Meat and fish,Final,224.4,5.25
,JAN-2025,A.1.3) Egg,Final,207.9,1.27
,JAN-2025,A.1.4) Milk and products,Final,187.9,2.85
,JAN-2025,A.1.5) Oils and fats,Final,184.1,15.64
,JAN-2025,A.1.6) Fruits,Final,192.8,12.16
,JAN-2025,A.1.7) Vegetables,Final,217.8,11.35
,JAN-2025,A.1.8) Pulses and products,Final,209.5,2.55
,JAN-2025,A.1.9) Sugar and confectionery,Final,130.5,0.31
,JAN-2025,A.1.10) Spices,Final,225.8,-6.85
,JAN-2025,A.1.11) Non-alcoholic beverages,Final,183.1,3.39
,JAN-2025,"A.1.12) Prepared meals, snacks, sweets etc.",Final,206.9,4.07
,JAN-2025,"A.2) Pan, tobacco and intoxicants",Final,209.4,2.3
,JAN-2025,A.3) Clothing and footwear,Final,195.1,2.68
,JAN-2025,A.3.1) Clothing,Final,196.5,2.72
,JAN-2025,A.3.2) Footwear,Final,186.5,2.08
,JAN-2025,A.4) Housing,Final,182.6,2.82
,JAN-2025,A.5) Fuel and light,Final,178.2,-1.49
,JAN-2025,A.6) Miscellaneous,Final,187.2,4.35
,JAN-2025,A.6.1) Household goods and services,Final,183.3,2.86
,JAN-2025,A.6.2) Health,Final,198.8,3.97
,JAN-2025,A.6.3) Transport and communication,Final,171.4,2.76
,JAN-2025,A.6.4) Recreation and amusement,Final,179.1,2.69
,JAN-2025,A.6.5) Education,Final,189.9,3.83
,JAN-2025,A.6.6) Personal Care and Effects,Final,209.2,10.63
,JAN-2025,B) Consumer Food Price Index,Final,200.6,5.97
,DEC-2024,A) General Index,Final,195.4,5.22
,DEC-2024,A.1) Food and beverages,Final,205.9,7.69
,DEC-2024,A.1.1) Cereals and products,Final,198.1,6.51
,DEC-2024,A.1.2) Meat and fish,Final,222.5,5.3
,DEC-2024,A.1.3) Egg,Final,212.1,6.85
,DEC-2024,A.1.4) Milk and products,Final,187.5,2.8
,DEC-2024,A.1.5) Oils and fats,Final,183.7,14.6
,DEC-2024,A.1.6) Fruits,Final,190.6,8.6
,DEC-2024,A.1.7) Vegetables,Final,258.3,26.56
,DEC-2024,A.1.8) Pulses and products,Final,214.1,3.83
,DEC-2024,A.1.9) Sugar and confectionery,Final,130.9,0.23
